,keyword,date,index
1,比特币,2018/5/30,2822
1,比特币,2018/5/31,34319
1,比特币,2018/6/1,22689
1,比特币,2018/6/2,63822
1,比特币,2018/6/3,24464
1,比特币,2018/6/4,22654
1,比特币,2018/6/5,14454
1,比特币,2018/6/6,31537
1,比特币,2018/6/7,18892
1,比特币,2018/6/8,10304
1,比特币,2018/6/9,17272
1,比特币,2018/6/10,22497
1,比特币,2018/6/11,50064
1,比特币,2018/6/12,18002
1,比特币,2018/6/13,40707
1,比特币,2018/6/14,42744
1,比特币,2018/6/15,13867
1,比特币,2018/6/16,36564
1,比特币,2018/6/17,31757
1,比特币,2018/6/18,17044
1,比特币,2018/6/19,9119
1,比特币,2018/6/20,6422
1,比特币,2018/6/21,88567
1,比特币,2018/6/22,19367
1,比特币,2018/6/23,7754
1,比特币,2018/6/24,8654
1,比特币,2018/6/25,41942
1,比特币,2018/6/26,23732
1,比特币,2018/6/27,47229
1,比特币,2018/6/28,123074
1,比特币,2018/6/29,44254
1,比特币,2018/6/30,23507
1,比特币,2018/7/1,28497
1,比特币,2018/7/2,49917
1,比特币,2018/7/3,55932
1,比特币,2018/7/4,39289
1,比特币,2018/7/5,21274
1,比特币,2018/7/6,42914
1,比特币,2018/7/7,45647
1,比特币,2018/7/8,35404
1,比特币,2018/7/9,26682
1,比特币,2018/7/10,16482
1,比特币,2018/7/11,14444
1,比特币,2018/7/12,12062
1,比特币,2018/7/13,26379
1,比特币,2018/7/14,49539
1,比特币,2018/7/15,27047
1,比特币,2018/7/16,15149
1,比特币,2018/7/17,10934
1,比特币,2018/7/18,10884
1,比特币,2018/7/19,31399
1,比特币,2018/7/20,20377
1,比特币,2018/7/21,18842
1,比特币,2018/7/22,22389
1,比特币,2018/7/23,50692
1,比特币,2018/7/24,83532
1,比特币,2018/7/25,655285
1,比特币,2018/7/26,73084
1,比特币,2018/7/27,47114
1,比特币,2018/7/28,31854
1,比特币,2018/7/29,49969
1,比特币,2018/7/30,41857
1,比特币,2018/7/31,28729
1,比特币,2018/8/1,17502
1,比特币,2018/8/2,26397
1,比特币,2018/8/3,71987
1,比特币,2018/8/4,152054
1,比特币,2018/8/5,115709
1,比特币,2018/8/6,163264
1,比特币,2018/8/7,218269
1,比特币,2018/8/8,147619
1,比特币,2018/8/9,301554
1,比特币,2018/8/10,406715
1,比特币,2018/8/11,462189
1,比特币,2018/8/12,389815
1,比特币,2018/8/13,769342
1,比特币,2018/8/14,1450448
1,比特币,2018/8/15,1213945
1,比特币,2018/8/16,469411
1,比特币,2018/8/17,564146
1,比特币,2018/8/18,410925
1,比特币,2018/8/19,381618
1,比特币,2018/8/20,298211
1,比特币,2018/8/21,267046
1,比特币,2018/8/22,494098
1,比特币,2018/8/23,660010
1,比特币,2018/8/24,482913
1,比特币,2018/8/25,576141
1,比特币,2018/8/26,746998
1,比特币,2018/8/27,585703
1,比特币,2018/8/28,272254
1,比特币,2018/8/29,430464
1,比特币,2018/8/30,351313
1,比特币,2018/8/31,249136
1,比特币,2018/9/1,392487
1,比特币,2018/9/2,320661
1,比特币,2018/9/3,394490
1,比特币,2018/9/4,406752
1,比特币,2018/9/5,363013
1,比特币,2018/9/6,756850
1,比特币,2018/9/7,425777
1,比特币,2018/9/8,455741
1,比特币,2018/9/9,355346
1,比特币,2018/9/10,193589
1,比特币,2018/9/11,153069
1,比特币,2018/9/12,172809
1,比特币,2018/9/13,264036
1,比特币,2018/9/14,323403
1,比特币,2018/9/15,233714
1,比特币,2018/9/16,203814
1,比特币,2018/9/17,197812
1,比特币,2018/9/18,504978
1,比特币,2018/9/19,367005
1,比特币,2018/9/20,496985
1,比特币,2018/9/21,349831
1,比特币,2018/9/22,251956
1,比特币,2018/9/23,175949
1,比特币,2018/9/24,624879
1,比特币,2018/9/25,401295
1,比特币,2018/9/26,245427
1,比特币,2018/9/27,716927
1,比特币,2018/9/28,271046
1,比特币,2018/9/29,422999
1,比特币,2018/9/30,401915
1,比特币,2018/10/1,255361
1,比特币,2018/10/2,149537
1,比特币,2018/10/3,136614
1,比特币,2018/10/4,132637
1,比特币,2018/10/5,217857
1,比特币,2018/10/6,166527
1,比特币,2018/10/7,211257
1,比特币,2018/10/8,1368951
1,比特币,2018/10/9,1054210
1,比特币,2018/10/10,641398
1,比特币,2018/10/11,663622
1,比特币,2018/10/12,645691
1,比特币,2018/10/13,347083
1,比特币,2018/10/14,253339
1,比特币,2018/10/15,156589
1,比特币,2018/10/16,161684
1,比特币,2018/10/17,172942
1,比特币,2018/10/18,297979
1,比特币,2018/10/19,416925
1,比特币,2018/10/20,814559
1,比特币,2018/10/21,378673
1,比特币,2018/10/22,342266
1,比特币,2018/10/23,221042
1,比特币,2018/10/24,308371
1,比特币,2018/10/25,255939
1,比特币,2018/10/26,442324
1,比特币,2018/10/27,346766
1,比特币,2018/10/28,266476
1,比特币,2018/10/29,270366
1,比特币,2018/10/30,594275
1,比特币,2018/10/31,372400
1,比特币,2018/11/1,360373
1,比特币,2018/11/2,842930
1,比特币,2018/11/3,516810
1,比特币,2018/11/4,412105
1,比特币,2018/11/5,201927
1,比特币,2018/11/6,505235
1,比特币,2018/11/7,620679
1,比特币,2018/11/8,434822
1,比特币,2018/11/9,479223
1,比特币,2018/11/10,336368
1,比特币,2018/11/11,250141
1,比特币,2018/11/12,421837
1,比特币,2018/11/13,201879
1,比特币,2018/11/14,172597
1,比特币,2018/11/15,438944
1,比特币,2018/11/16,942974
1,比特币,2018/11/17,629341
1,比特币,2018/11/18,372388
1,比特币,2018/11/19,364320
1,比特币,2018/11/20,1084030
1,比特币,2018/11/21,5926339
1,比特币,2018/11/22,2535329
1,比特币,2018/11/23,1699706
1,比特币,2018/11/24,1894083
1,比特币,2018/11/25,2758734
1,比特币,2018/11/26,4151622
1,比特币,2018/11/27,1799408
1,比特币,2018/11/28,832910
1,比特币,2018/11/29,691988
1,比特币,2018/11/30,606137
1,比特币,2018/12/1,526327
1,比特币,2018/12/2,400555
1,比特币,2018/12/3,954141
1,比特币,2018/12/4,3330927
1,比特币,2018/12/5,977536
1,比特币,2018/12/6,712927
1,比特币,2018/12/7,599002
1,比特币,2018/12/8,535779
1,比特币,2018/12/9,331918
1,比特币,2018/12/10,495098
1,比特币,2018/12/11,451271
1,比特币,2018/12/12,352223
1,比特币,2018/12/13,299289
1,比特币,2018/12/14,453246
1,比特币,2018/12/15,417022
1,比特币,2018/12/16,805022
1,比特币,2018/12/17,505895
1,比特币,2018/12/18,1028468
1,比特币,2018/12/19,489856
1,比特币,2018/12/20,381540
1,比特币,2018/12/21,297476
1,比特币,2018/12/22,344201
1,比特币,2018/12/23,1545926
1,比特币,2018/12/24,434094
1,比特币,2018/12/25,367375
1,比特币,2018/12/26,369100
1,比特币,2018/12/27,268221
1,比特币,2018/12/28,446942
1,比特币,2018/12/29,676349
1,比特币,2018/12/30,546887
1,比特币,2018/12/31,435129
1,比特币,2019/1/1,258641
1,比特币,2019/1/2,225272
1,比特币,2019/1/3,184099
1,比特币,2019/1/4,169454
1,比特币,2019/1/5,176389
1,比特币,2019/1/6,149969
1,比特币,2019/1/7,231319
1,比特币,2019/1/8,219677
1,比特币,2019/1/9,293929
1,比特币,2019/1/10,265856
1,比特币,2019/1/11,588358
1,比特币,2019/1/12,366135
1,比特币,2019/1/13,247444
1,比特币,2019/1/14,309446
1,比特币,2019/1/15,432417
1,比特币,2019/1/16,215282
1,比特币,2019/1/17,177747
1,比特币,2019/1/18,245839
1,比特币,2019/1/19,134414
1,比特币,2019/1/20,126487
1,比特币,2019/1/21,95509
1,比特币,2019/1/22,153059
1,比特币,2019/1/23,132172
1,比特币,2019/1/24,170507
1,比特币,2019/1/25,225547
1,比特币,2019/1/26,255274
1,比特币,2019/1/27,343408
