,keyword,date,index
1,比特币,2015-12-26,0
1,比特币,2015-12-27,2
1,比特币,2015-12-28,14
1,比特币,2015-12-29,8
1,比特币,2015-12-30,20
1,比特币,2015-12-31,9
1,比特币,2016-01-01,5
1,比特币,2016-01-02,1
1,比特币,2016-01-03,1
1,比特币,2016-01-04,9
1,比特币,2016-01-05,16
1,比特币,2016-01-06,12
1,比特币,2016-01-07,15
1,比特币,2016-01-08,11
1,比特币,2016-01-09,4
1,比特币,2016-01-10,2
1,比特币,2016-01-11,8
1,比特币,2016-01-12,5
1,比特币,2016-01-13,3
1,比特币,2016-01-14,12
1,比特币,2016-01-15,7
1,比特币,2016-01-16,12
1,比特币,2016-01-17,2
1,比特币,2016-01-18,19
1,比特币,2016-01-19,13
1,比特币,2016-01-20,13
1,比特币,2016-01-21,12
1,比特币,2016-01-22,11
1,比特币,2016-01-23,9
1,比特币,2016-01-24,4
1,比特币,2016-01-25,13
1,比特币,2016-01-26,6
1,比特币,2016-01-27,6
1,比特币,2016-01-28,8
1,比特币,2016-01-29,6
1,比特币,2016-01-30,2
1,比特币,2016-01-31,0
1,比特币,2016-02-01,8
1,比特币,2016-02-02,5
1,比特币,2016-02-03,8
1,比特币,2016-02-04,3
1,比特币,2016-02-05,4
1,比特币,2016-02-06,0
1,比特币,2016-02-07,0
1,比特币,2016-02-08,0
1,比特币,2016-02-09,1
1,比特币,2016-02-10,3
1,比特币,2016-02-11,1
1,比特币,2016-02-12,1
1,比特币,2016-02-13,1
1,比特币,2016-02-14,2
1,比特币,2016-02-15,9
1,比特币,2016-02-16,18
1,比特币,2016-02-17,12
1,比特币,2016-02-18,10
1,比特币,2016-02-19,5
1,比特币,2016-02-20,1
1,比特币,2016-02-21,2
1,比特币,2016-02-22,8
1,比特币,2016-02-23,7
1,比特币,2016-02-24,6
1,比特币,2016-02-25,6
1,比特币,2016-02-26,2
1,比特币,2016-02-27,2
1,比特币,2016-02-28,5
1,比特币,2016-02-29,8
1,比特币,2016-03-01,6
1,比特币,2016-03-02,8
1,比特币,2016-03-03,11
1,比特币,2016-03-04,9
1,比特币,2016-03-05,3
1,比特币,2016-03-06,0
1,比特币,2016-03-07,7
1,比特币,2016-03-08,10
1,比特币,2016-03-09,7
1,比特币,2016-03-10,9
1,比特币,2016-03-11,12
1,比特币,2016-03-12,1
1,比特币,2016-03-13,2
1,比特币,2016-03-14,12
1,比特币,2016-03-15,59
1,比特币,2016-03-16,8
1,比特币,2016-03-17,16
1,比特币,2016-03-18,0
1,比特币,2016-03-19,2
1,比特币,2016-03-20,3
1,比特币,2016-03-21,10
1,比特币,2016-03-22,8
1,比特币,2016-03-23,12
1,比特币,2016-03-24,19
1,比特币,2016-03-25,12
1,比特币,2016-03-26,4
1,比特币,2016-03-27,3
1,比特币,2016-03-28,13
1,比特币,2016-03-29,7
1,比特币,2016-03-30,11
1,比特币,2016-03-31,16
1,比特币,2016-04-01,14
1,比特币,2016-04-02,5
1,比特币,2016-04-03,4
1,比特币,2016-04-04,3
1,比特币,2016-04-05,11
1,比特币,2016-04-06,10
1,比特币,2016-04-07,9
1,比特币,2016-04-08,5
1,比特币,2016-04-09,1
1,比特币,2016-04-10,1
1,比特币,2016-04-11,8
1,比特币,2016-04-12,13
1,比特币,2016-04-13,14
1,比特币,2016-04-14,13
1,比特币,2016-04-15,12
1,比特币,2016-04-16,2
1,比特币,2016-04-17,2
1,比特币,2016-04-18,7
1,比特币,2016-04-19,9
1,比特币,2016-04-20,12
1,比特币,2016-04-21,10
1,比特币,2016-04-22,20
1,比特币,2016-04-23,7
1,比特币,2016-04-24,5
1,比特币,2016-04-25,16
1,比特币,2016-04-26,16
1,比特币,2016-04-27,79
1,比特币,2016-04-28,9
1,比特币,2016-04-29,11
1,比特币,2016-04-30,4
1,比特币,2016-05-01,2
1,比特币,2016-05-02,20
1,比特币,2016-05-03,500
1,比特币,2016-05-04,269
1,比特币,2016-05-05,16
1,比特币,2016-05-06,94
1,比特币,2016-05-07,13
1,比特币,2016-05-08,4
1,比特币,2016-05-09,12
1,比特币,2016-05-10,11
1,比特币,2016-05-11,10
1,比特币,2016-05-12,12
1,比特币,2016-05-13,14
1,比特币,2016-05-14,3
1,比特币,2016-05-15,4
1,比特币,2016-05-16,6
1,比特币,2016-05-17,8
1,比特币,2016-05-18,9
1,比特币,2016-05-19,16
1,比特币,2016-05-20,11
1,比特币,2016-05-21,2
1,比特币,2016-05-22,4
1,比特币,2016-05-23,15
1,比特币,2016-05-24,12
1,比特币,2016-05-25,15
1,比特币,2016-05-26,16
1,比特币,2016-05-27,11
1,比特币,2016-05-28,4
1,比特币,2016-05-29,5
1,比特币,2016-05-30,357
1,比特币,2016-05-31,164
1,比特币,2016-06-01,173
1,比特币,2016-06-02,103
1,比特币,2016-06-03,134
1,比特币,2016-06-04,9
1,比特币,2016-06-05,4
