,keyword,type,date,index
1,比特币,all,2016/4/9,5797
1,比特币,all,2016/4/10,5524
1,比特币,all,2016/4/11,6475
1,比特币,all,2016/4/12,8019
1,比特币,all,2016/4/13,8701
1,比特币,all,2016/4/14,6446
1,比特币,all,2016/4/15,6172
1,比特币,all,2016/4/16,4708
1,比特币,all,2016/4/17,3923
1,比特币,all,2016/4/18,5687
1,比特币,all,2016/4/19,4917
1,比特币,all,2016/4/20,5766
1,比特币,all,2016/4/21,5385
1,比特币,all,2016/4/22,5840
1,比特币,all,2016/4/23,7020
1,比特币,all,2016/4/24,7571
1,比特币,all,2016/4/25,7821
1,比特币,all,2016/4/26,7185
1,比特币,all,2016/4/27,8164
1,比特币,all,2016/4/28,8084
1,比特币,all,2016/4/29,6075
1,比特币,all,2016/4/30,5041
1,比特币,all,2016/5/1,4551
1,比特币,all,2016/5/2,9072
1,比特币,all,2016/5/3,14888
1,比特币,all,2016/5/4,9294
1,比特币,all,2016/5/5,7170
1,比特币,all,2016/5/6,7840
1,比特币,all,2016/5/7,11961
1,比特币,all,2016/5/8,6944
1,比特币,all,2016/5/9,8045
1,比特币,all,2016/5/10,7050
1,比特币,all,2016/5/11,6208
1,比特币,all,2016/5/12,8895
1,比特币,all,2016/5/13,7920
1,比特币,all,2016/5/14,6037
1,比特币,all,2016/5/15,6054
1,比特币,all,2016/5/16,6381
1,比特币,all,2016/5/17,6214
1,比特币,all,2016/5/18,5575
1,比特币,all,2016/5/19,5712
1,比特币,all,2016/5/20,5290
1,比特币,all,2016/5/21,5066
1,比特币,all,2016/5/22,5070
1,比特币,all,2016/5/23,5911
1,比特币,all,2016/5/24,6057
1,比特币,all,2016/5/25,6055
1,比特币,all,2016/5/26,6905
1,比特币,all,2016/5/27,8883
1,比特币,all,2016/5/28,8584
1,比特币,all,2016/5/29,12513
1,比特币,all,2016/5/30,19327
1,比特币,all,2016/5/31,15912
1,比特币,all,2016/6/1,10458
1,比特币,all,2016/6/2,9971
1,比特币,all,2016/6/3,10695
1,比特币,all,2016/6/4,7087
1,比特币,all,2016/6/5,7177
1,比特币,all,2016/6/6,7872
1,比特币,all,2016/6/7,7032
1,比特币,all,2016/6/8,8641
1,比特币,all,2016/6/9,5893
1,比特币,all,2016/6/10,5679
1,比特币,all,2016/6/11,6270
1,比特币,all,2016/6/12,10629
1,比特币,all,2016/6/13,62680
1,比特币,all,2016/6/14,15199
1,比特币,all,2016/6/15,13042
1,比特币,all,2016/6/16,15275
1,比特币,all,2016/6/17,16648
1,比特币,all,2016/6/18,12375
1,比特币,all,2016/6/19,11468
1,比特币,all,2016/6/20,23630
1,比特币,all,2016/6/21,14546
1,比特币,all,2016/6/22,12268
1,比特币,all,2016/6/23,13294
1,比特币,all,2016/6/24,14627
1,比特币,all,2016/6/25,10333
1,比特币,all,2016/6/26,8515
1,比特币,all,2016/6/27,9844
1,比特币,all,2016/6/28,9705
1,比特币,all,2016/6/29,12497
1,比特币,all,2016/6/30,9042
1,比特币,all,2016/7/1,10757
1,比特币,all,2016/7/2,7941
1,比特币,all,2016/7/3,7470
1,比特币,all,2016/7/4,8313
1,比特币,all,2016/7/5,8095
1,比特币,all,2016/7/6,8050
1,比特币,all,2016/7/7,8920
1,比特币,all,2016/7/8,8773
1,比特币,all,2016/7/9,7604
1,比特币,all,2016/7/10,7949
1,比特币,all,2016/7/11,9285
1,比特币,all,2016/7/12,7682
1,比特币,all,2016/7/13,7995
1,比特币,all,2016/7/14,7601
1,比特币,all,2016/7/15,7532
1,比特币,all,2016/7/16,6679
1,比特币,all,2016/7/17,6320
1,比特币,all,2016/7/18,8218
1,比特币,all,2016/7/19,8682
1,比特币,all,2016/7/20,7570
1,比特币,all,2016/7/21,7122
1,比特币,all,2016/7/22,6912
1,比特币,all,2016/7/23,5886
1,比特币,all,2016/7/24,5756
1,比特币,all,2016/7/25,6895
1,比特币,all,2016/7/26,7868
1,比特币,all,2016/7/27,7629
1,比特币,all,2016/7/28,7064
1,比特币,all,2016/7/29,6515
1,比特币,all,2016/7/30,5982
1,比特币,all,2016/7/31,6107
1,比特币,all,2016/8/1,8285
1,比特币,all,2016/8/2,7471
1,比特币,all,2016/8/3,11994
1,比特币,all,2016/8/4,10606
1,比特币,all,2016/8/5,8971
1,比特币,all,2016/8/6,6797
1,比特币,all,2016/8/7,5956
1,比特币,all,2016/8/8,7220
1,比特币,all,2016/8/9,6240
1,比特币,all,2016/8/10,7150
1,比特币,all,2016/8/11,6328
1,比特币,all,2016/8/12,5615
1,比特币,all,2016/8/13,4651
1,比特币,all,2016/8/14,4653
1,比特币,all,2016/8/15,7183
1,比特币,all,2016/8/16,6224
1,比特币,all,2016/8/17,6014
1,比特币,all,2016/8/18,6143
1,比特币,all,2016/8/19,6650
1,比特币,all,2016/8/20,5339
1,比特币,all,2016/8/21,5051
1,比特币,all,2016/8/22,6819
1,比特币,all,2016/8/23,6112
1,比特币,all,2016/8/24,6315
1,比特币,all,2016/8/25,6201
1,比特币,all,2016/8/26,6694
1,比特币,all,2016/8/27,6444
1,比特币,all,2016/8/28,5435
1,比特币,all,2016/8/29,6460
1,比特币,all,2016/8/30,5849
1,比特币,all,2016/8/31,5432
1,比特币,all,2016/9/1,5187
1,比特币,all,2016/9/2,4958
1,比特币,all,2016/9/3,4258
1,比特币,all,2016/9/4,4913
1,比特币,all,2016/9/5,6719
1,比特币,all,2016/9/6,6059
1,比特币,all,2016/9/7,5964
1,比特币,all,2016/9/8,6257
1,比特币,all,2016/9/9,5685
1,比特币,all,2016/9/10,4976
1,比特币,all,2016/9/11,5373
1,比特币,all,2016/9/12,7195
1,比特币,all,2016/9/13,6038
1,比特币,all,2016/9/14,5292
1,比特币,all,2016/9/15,3787
1,比特币,all,2016/9/16,4007
1,比特币,all,2016/9/17,4539
1,比特币,all,2016/9/18,5509
1,比特币,all,2016/9/19,6183
1,比特币,all,2016/9/20,6184
1,比特币,all,2016/9/21,6248
1,比特币,all,2016/9/22,5879
1,比特币,all,2016/9/23,6000
1,比特币,all,2016/9/24,5686
1,比特币,all,2016/9/25,5607
1,比特币,all,2016/9/26,6821
1,比特币,all,2016/9/27,6072
1,比特币,all,2016/9/28,6075
1,比特币,all,2016/9/29,6398
1,比特币,all,2016/9/30,5158
1,比特币,all,2016/10/1,4355
1,比特币,all,2016/10/2,4398
1,比特币,all,2016/10/3,4248
1,比特币,all,2016/10/4,4731
1,比特币,all,2016/10/5,4713
1,比特币,all,2016/10/6,4882
1,比特币,all,2016/10/7,4972
1,比特币,all,2016/10/8,5809
1,比特币,all,2016/10/9,5746
1,比特币,all,2016/10/10,5858
1,比特币,all,2016/10/11,8951
1,比特币,all,2016/10/12,7401
1,比特币,all,2016/10/13,8625
1,比特币,all,2016/10/14,7621
1,比特币,all,2016/10/15,6228
1,比特币,all,2016/10/16,6813
1,比特币,all,2016/10/17,7914
